date,symbol,open,high,low,close,adjusted_close,volume,rate_1year,rate_3month,rate_10year,cpi_core,cpi_headline,ppi_final,gdp_growth,vix,unemployment,dividend_per_share,dividend_growth_pct,return_outlier_flag,volume_outlier_flag,daily_return,log_return,volatility_10d,volatility_21d,volatility_63d,vix_change,vix_jpm_corr_21d,vix_jpm_corr_63d,term_spread_10y_3m,rate_10y_momentum_5d,rate_3m_momentum_5d,rate_10y_momentum_21d,rate_3m_momentum_21d,dividend_growth_yoy,gdp_growth_rate_qoq
2018-01-02,JPM,107.62999725341795,108.0199966430664,106.80999755859376,107.9499969482422,85.90127563476562,13578800,1.83,1.44,2.46,255.711,249.529,115.1,20304.874,9.77,4.1,0.56,0.1200000000000001,True,False,,,,,,,,,1.02,,,,,,
2018-01-03,JPM,107.86000061035156,108.48999786376952,107.4800033569336,108.05999755859376,85.98881530761719,11901000,1.81,1.41,2.44,255.711,249.529,115.1,20304.874,9.15,4.1,0.56,0.1200000000000001,False,False,0.0010190730254548974,0.0010185541230423383,,,,-0.06345957011258951,,,1.03,,,,,,
2018-01-04,JPM,108.36000061035156,110.02999877929688,108.1999969482422,109.04000091552734,87.22065734863281,12953700,1.82,1.41,2.46,255.711,249.529,115.1,20304.874,9.22,4.1,0.56,0.0,False,False,0.014325607773625126,0.014223965826288447,,,,0.007650273224043769,,,1.05,,,,,,
2018-01-05,JPM,109.26000213623048,109.5500030517578,107.77999877929688,108.33999633789062,86.66072845458984,14155000,1.8,1.39,2.47,255.711,249.529,115.1,20304.874,9.22,4.1,0.56,0.0,False,False,-0.0064196821150390715,-0.00644037689106896,,,,0.0,,,1.0800000000000003,,,,,,
2018-01-08,JPM,108.1500015258789,108.68000030517578,107.6999969482422,108.5,86.78871154785156,12466500,1.79,1.45,2.49,255.711,249.529,115.1,20304.874,9.52,4.1,0.56,0.0,False,False,0.0014768291883073825,0.0014757397485607073,,,,0.03253796095444672,,,1.0400000000000003,,,,,,
2018-01-09,JPM,108.72000122070312,109.62999725341795,108.48999786376952,109.0500030517578,87.2286376953125,13292300,1.78,1.44,2.55,255.711,249.529,115.1,20304.874,10.08,4.1,0.56,0.0,False,False,0.00506893280952081,0.005056129019081879,,,,0.05882352941176472,,,1.1099999999999999,0.08999999999999986,0.0,,,,
2018-01-10,JPM,109.47000122070312,110.6999969482422,109.38999938964844,110.25,88.18850708007812,15834500,1.78,1.42,2.55,255.711,249.529,115.1,20304.874,9.82,4.1,0.56,0.0,False,False,0.01100406254329478,0.010943958371798714,,,,-0.025793650793650813,,,1.13,0.10999999999999988,0.010000000000000009,,,,
2018-01-11,JPM,110.66999816894533,110.93000030517578,110.0500030517578,110.83999633789062,88.66045379638672,13676800,1.77,1.43,2.54,255.711,249.529,115.1,20304.874,9.88,4.1,0.56,0.0,False,False,0.005351567136520963,0.00533729838526148,,,,0.006109979633401208,,,1.11,0.08000000000000007,0.020000000000000018,,,,
2018-01-12,JPM,111.6500015258789,112.8499984741211,110.83999633789062,112.66999816894533,90.12427520751952,18884200,1.78,1.43,2.55,255.711,249.529,115.1,20304.874,10.16,4.1,0.56,0.0,False,False,0.01651042091995758,0.016375605799536806,,,,0.028340080971659853,,,1.1199999999999999,0.07999999999999963,0.040000000000000036,,,,
2018-01-16,JPM,111.51000213623048,113.43000030517578,111.06999969482422,112.2699966430664,89.80431365966797,22703300,1.79,1.45,2.54,255.711,249.529,115.1,20304.874,11.66,4.1,0.56,0.0,False,False,-0.003550226030831438,-0.003556543038902503,,,,0.1476377952755905,,,1.09,0.04999999999999982,0.0,,,,
